Key,en,ar,he
RN_OPENING_SCREEN_HEADER,Neuron Under Construction,خلايا عصبية قيد الإنشاء,כאן בונים נוירון
RN_OPENING_SCREEN_SUB_HEADER,You are invited to reconstruct your own neuron,أنتم مدعوون لبناء الخلية العصبية الخاصة بكم,אתם מוזמנים לבנות נוירון משלכם
RN_OPENING_SCREEN_BUTTON_TEXT,Start,ابدأوا,התחילו
RN_CHOOSE_NEURON_INSTRUCTION,Select a neuron and reconstruct it as an active 3D model,اختاروا الخلية العصبية وقوموا ببنائها كنموذج ثلاثي الأبعاد فعّال,בחרו נוירון ובנו אותו כמודל תלת ממדי פעיל
RN_CHOOSE_NEURON_SELECT_BUTTON_TEXT,Select,اختاروا,בחרו
RN_CHOOSE_NEURON_PYRAMIDAL_NAME,Pyramidal Cell,خلية هرمية (Pyramidal Cell),תא פירמידלי (Pyramidal Cell)
RN_CHOOSE_NEURON_BASKET_NAME,Basket Cell,خلية السلة (Basket Cell),תא סל (Basket Cell)
RN_CHOOSE_NEURON_MARTINOTTI_NAME,Martinotti Cell,خلية مارتينوتي (Martinotti Cell),תא מארטינוטי (Martinotti Cell)
RN_CHOOSE_NEURON_PYRAMIDAL_DESC,"Named after the pyramid shape of its body,
the most common cell type in the cerebral
cortex. The cell increases the activity of the
cells it communicates with (Excitatory cell).","الخلية، الّتي جسمها يشبه الهرم،
هي الأكثر شيوعًا في قشرة الدماغ،
وتزيد من نشاط الخلايا الّتي تتواصل
معها (خلية مُحفزة)","התא, שגופו בצורת פירמידה, הוא הנפוץ
ביותר בקליפת המוח, ומגביר את
פעילותם של התאים איתם הוא
מתקשר (תא מעורר)."
RN_CHOOSE_NEURON_BASKET_DESC,"Surrounds like a basket the body of the cells it
communicates with and decreases their activity.
(Inhibitory cell).","الخلية تحيط على شكل سلة أجسام
الخلايا الّتي تتواصل معها وتُقّلل من
نشاطها (خلية مثبطة). ","התא מקיף בצורת סל את גופי
התאים איתם הוא מתקשר ומקטין את
פעילותם (תא מעכב)."
